ID	S7Adress	S7Symbol	S7SymbolType	S7Comment	SymbolType	Column	RankingGroup	GroupComment	RankingSymbol	Comment	Unit	SymbolFormat	UpperLimit	LowerLimit	UserRightEnable	UserRightVisible	VisuSymbol	
1	DB50.DBD0	P1_Qmin_1	REAL	Pumpen 1:Pumpendruck 1	S	1	1	Pumpen 1	1	Pumpendruck 1	bar	0.0	99999	0	14	15	DB50.P1_Qmin_1
2	DB50.DBD4	P1_Qmin_2	REAL	Pumpen 1:Pumpendruck 2	S	1	1	Pumpen 1	2	Pumpendruck 2	bar	0.00	99999	0	15	15	DB50.P1_Qmin_2
3	DB50.DBD8	P1_Qmin_3	REAL	Pumpen 1:Pumpendruck 3	S	1	1	Pumpen 1	3	Pumpendruck 3	bar	0.00	99999	0	15	15	DB50.P1_Qmin_3
4	DB50.DBD12	P1_Qmin_4	REAL	Pumpen 1:Pumpendruck 4	S	1	1	Pumpen 1	4	Pumpendruck 4	bar	0	99999	0	15	15	DB50.P1_Qmin_4
5	DB50.DBD16	P1_Qmin_5	REAL	Pumpen 1:Pumpendruck 5	S	1	1	Pumpen 1	5	Pumpendruck 5	bar	0.00	99999	0	15	15	DB50.P1_Qmin_5
6	DB51.DBD0	P1_Qmin_1	REAL	Pumpen 2:Pumpendruck 1	I	1	2	Pumpen 2	1	Pumpendruck 1	bar	0.00	99999	0	14	15	DB51.P1_Qmin_1
7	DB51.DBD4	P1_Qmin_2	REAL	Pumpen 2:Pumpendruck 2	I	1	2	Pumpen 2	2	Pumpendruck 2	bar	0.0	99999	0	14	15	DB51.P1_Qmin_2
8	DB51.DBD8	P1_Qmin_3	REAL	Pumpen 2:Pumpendruck 3	I	1	2	Pumpen 2	3	Pumpendruck 3	bar	0.00	99999	0	14	15	DB51.P1_Qmin_3
9	DB51.DBD12	P1_Qmin_4	REAL	Pumpen 2:Pumpendruck 4	I	1	2	Pumpen 2	4	Pumpendruck 4	bar	0.00	99999	0	14	15	DB51.P1_Qmin_4
10	DB51.DBD16	P1_Qmin_5	REAL	Pumpen 2:Pumpendruck 5	I	1	2	Pumpen 2	5	Pumpendruck 5	bar	0.00	99999	0	14	15	DB51.P1_Qmin_5
11	DB52.DBW0	Valve01	INT	Schieber:Status 1	I	1	3	Schieber	1	Status 1	NULL	0	99999	0	15	15	DB52.Valve01
12	DB52.DBW2	Valve02	INT	Schieber:Status 2	I	1	3	Schieber	2	Status 2	NULL	0	99999	0	15	15	DB52.Valve02
13	DB52.DBW4	Valve03	INT	Schieber:Status 3	I	1	3	Schieber	3	Status 3	NULL	0	99999	0	15	15	DB52.Valve03
14	DB52.DBW6	Valve04	INT	Schieber:Status 4	I	1	3	Schieber	4	Status 4	NULL	0	99999	0	15	15	DB52.Valve04
15	DB52.DBW8	Valve05	INT	Schieber:Status 5	I	1	3	Schieber	5	Status 5	NULL	0	99999	0	15	15	DB52.Valve05
16	DB53.DBX0.0	Bit01	BOOL	Fehlergruppe 1: Fehler 1	I	1	4	Fehlergruppe 1	1	 Fehler 1	NULL	0	1	0	15	15	DB53.Bit01
17	DB53.DBX0.1	Bit02	BOOL	Fehlergruppe 1: Fehler 2	I	1	4	Fehlergruppe 1	2	 Fehler 2	NULL	0	1	0	15	15	DB53.Bit02
18	DB53.DBX0.2	Bit03	BOOL	Fehlergruppe 1: Fehler 3	I	1	4	Fehlergruppe 1	3	 Fehler 3	NULL	0	1	0	15	15	DB53.Bit03
19	DB53.DBX0.3	Bit04	BOOL	Fehlergruppe 1: Fehler 4	I	1	4	Fehlergruppe 1	4	 Fehler 4	NULL	0	1	0	15	15	DB53.Bit04
20	DB53.DBX0.4	Bit05	BOOL	Fehlergruppe 1: Fehler 5	E	1	4	Fehlergruppe 1	5	 Fehler 5	NULL	0	1	0	15	15	DB53.Bit05
21	DB53.DBX0.5	Bit06	BOOL	Fehlergruppe 1: Fehler 6	E	1	4	Fehlergruppe 1	6	 Fehler 6	NULL	0	1	0	15	15	DB53.Bit06
22	DB53.DBX0.6	Bit07	BOOL	Fehlergruppe 1: Fehler 7	E	1	4	Fehlergruppe 1	7	 Fehler 7	NULL	0	1	0	15	15	DB53.Bit07
23	DB53.DBX0.7	Bit08	BOOL	Fehlergruppe 2: Fehler 1	E	1	4	Fehlergruppe 2	8	 Fehler 1	NULL	0	1	0	15	15	DB53.Bit08
24	DB53.DBX1.0	Bit09	BOOL	Fehlergruppe 2: Fehler 2	E	1	5	Fehlergruppe 2	1	 Fehler 2	NULL	0	1	0	15	15	DB53.Bit09
